商品名称,地址,介绍,标签,总价（万元）,每平米价格（元）
日光里 2室1厅 南 北,日光里 - 鸿顺里街,2室1厅 | 69.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",150,21602
香江健康小镇 通透大三居室 次顶,香江健康小镇郁金香园 - 京津新城,3室1厅 | 124.69平米 | 南 北 | 毛坯 | 12层  | 板楼,"VR房源,房本满两年,随时看房",65,5213
龙井里 两室  带装修  便宜  价格合适 省两个点的税费,龙井里 - 万兴街,2室1厅 | 58.29平米 | 西北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",155,26592
满五唯一的房子 无尾款 现状出售 精品装修,裕川家园 - 工农村,2室1厅 | 76.98平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,"VR房源,房本满五年,随时看房",112,14550
业主诚心精装修位置好中间楼层价格低有钥匙随时能看,华亭国际 - 中北镇,1室1厅 | 55.8平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,"VR看装修,房本满两年,随时看房",124,22223
雅致里大独单，四楼中间楼层，配套交通都齐全。,雅致里 - 陈塘庄,1室1厅 | 45.55平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",109,23930
听景园砖楼四楼 南北通透 采光好 诚心出售,宝翠花都听景园 - 瑞景居住区,2室2厅 | 95.99平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",199,20732
新装修 户型好 过五年 无二套 有钥匙,第六大道陆典庭园 - 上杭路,2室1厅 | 58.85平米 | 南 北 | 精装 | 5层  | 板楼,"VR房源,房本满五年,随时看房",159,27018
焕玉里 中环线以里 低楼层 私产 满二年 葫芦独,焕玉里 - 王串场,1室1厅 | 44.79平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满两年,随时看房",89,19871
精装南北通透大两室，满五唯一 看房方便,千吉花园 - 三条石,2室1厅 | 111.67平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房",415,37164
此房在小区中间位置 无遮挡 采光好 私产满五唯一,三水南里 - 小海地,2室2厅 | 99.82平米 | 东 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",180,18033
万科假日电梯房 H户型南北通透  满五年 税费低,假日风景花园 - 中北镇,2室2厅 | 89.99平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,"VR看装修,房本满五年,随时看房",193,21447
1楼养老 采光不错 私产可贷款 业主诚意出售,卫津南路112号 - 体育中心街,2室1厅 | 50.17平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",150,29899
满五年简单装修好收拾，户型方正居住舒适，地段好,富贵嘉园 - 三槐路街,2室1厅 | 90.94平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,"VR房源,房本满五年,随时看房",150,16495
永旺商圈，地铁一号线，成熟配套,金地艺境 - 辛庄,2室1厅 | 83.07平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房",120,14446
五星优质鼓楼平祥大厦低楼层阳面两室,九州国际 - 鼓楼街,2室1厅 | 97.11平米 | 西南 | 简装 | 低楼层(共34层)  | 塔楼,"VR看装修,房本满五年,随时看房",368.5,37947
金都花园          户型         位置好,金都花园 - 体育中心,2室1厅 | 85.43平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",170,19900
健全里 2室1厅 南 北,健全里 - 越秀路,2室1厅 | 70.13平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",245,34936
芳润轩小区前排精装一室 楼层采光好,华润橡树湾芳润轩 - 华明镇,1室1厅 | 53.86平米 | 东 南 | 精装 | 高楼层(共14层)  | 板塔结合,"VR看装修,房本满两年,随时看房",80,14854
此房过5年没有二套南北通透两室6层到顶的4楼采光充足,千禧园西区 - 邵公庄,2室1厅 | 85.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房",210,24657
宸欣家园 两室一厅 户型方正 简单装修,宸欣家园 - 宜兴埠,2室1厅 | 79.82平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",136.8,17139
私产房  满五年唯一  田字格,盛宇里 - 王串场,1室1厅 | 52.23平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,"VR看装修,房本满两年,随时看房",94,17998
稀有房源，正规三室，不到顶带一个80平米露台，太巴适,金泽里(河北区) - 望海楼,3室2厅 | 115.03平米 | 南 北 西 | 精装 | 高楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",255,22169
海航城大三室两卫毛坯 楼层好采光无遮挡 居住舒适度高,天津海航城 - 宁河,3室1厅 | 137.26平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,"VR看装修,房本满两年,随时看房",81,5902
此房是业主精心装修 中间好楼层 户型方正 格局宽阔,松江运河城 - 武清其它,3室1厅 | 122.31平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,"VR看装修,房本满五年,随时看房",145,11856
继贤里 私产房可贷款 2居室 东西向 中楼层 宜居,继贤里大楼 - 南营门街,2室1厅 | 61.81平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",390,63097
风荷园 低楼层南北通透 双阳台 位置好,风荷园 - 万兴街,2室2厅 | 101.29平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",350,34555
格调兰庭 低楼层 小区中间位置采光好 价格大幅度可议,天江格调兰庭 - 广开街,2室1厅 | 96.53平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",440,45582
精装修，满五年，不临街不把边，看房方便。,堤北里 - 王顶堤,1室1厅 | 47.63平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",119,24985
天辰公寓 3室2厅 南 北,天辰公寓 - 北仓镇,3室2厅 | 131.25平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",240,18286
艺术家园 1室2厅 南 北,艺术家园 - 瑞景居住区,1室2厅 | 89.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",165,18500
满五唯一 观景 不临街 有车位 采光视野好,蓝水园 - 梅江,3室2厅 | 150.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",589,39043
鼓楼中营两居室，高楼层，视野开阔，交通便利,富力城天霖园 - 鼓楼街,2室2厅 | 108.53平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,"近地铁,VR看装修,房本满五年",559,51507
冠云西里 3室1厅 南 北,冠云西里 - 万新村,3室1厅 | 74.88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满两年",165,22036
邮电公寓 2室1厅 西南,邮电公寓 - 兴南街,2室1厅 | 92.88平米 | 西南 | 精装 | 低楼层(共25层)  | 板楼,"近地铁,VR看装修,房本满五年",335,36069
保利物业，南站静怡住宅，北侧花园，小区中间位置,保利金融街诺丁山 - 张家窝,3室2厅 | 105.63平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满两年",205,19408
盈江西里 2室1厅 西,盈江西里 - 王顶堤,2室1厅 | 55平米 | 西 | 其他 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",92,16728
昆仑里  1楼两室  带院   私产可贷款  有固定车位,昆仑里(河西区) - 陈塘庄,2室1厅 | 53.81平米 | 南 西 | 简装 | 低楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",151,28062
泉春里精装修 南北通透三居室 中间楼层 视野好,先春园泉春里 - 芥园道,3室2厅 | 147.46平米 | 南 西 北 | 精装 | 中楼层(共24层)  | 板塔结合,"VR房源,房本满五年",490,33230
全明格局南北通透精装修楼层无遮挡,金隅满堂 - 中北镇,3室1厅 | 90.91平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,"VR看装修,房本满两年",240,26400
金厦新都庄园澜溪园 1室1厅 南,金厦新都庄园澜溪园 - 李七庄,1室1厅 | 71.76平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,"VR看装修,房本满五年",159,22158
此房满五年唯一，南北格局，楼层好，采光充足,信德里 - 桃园街,3室1厅 | 82.36平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,"VR看装修,房本满五年",268,32541
厅宽四米二 得房率79.36%  南北通透三室带明卫,千吉花园 - 三条石,3室2厅 | 139.01平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,"VR看装修,房本满两年",498,35825
户型方正，通风良好  动静分离 中楼层 看房方便,长华里 - 华苑,3室1厅 | 113.96平米 | 南 北 东 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",298,26150
新都花园，稀确跃层，精装修可直接入住，居家改善,新都花园 - 万兴街,5室3厅 | 214.41平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,"VR房源,房本满五年",750,34980
电梯洋房顶跃，上下H，三室双卫，中间位置，无遮挡，,裕阳花园 - 春华街,3室2厅 | 137.24平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,"VR房源,房本满五年",368,26815
昆明路片 南北通透大三居，视野采光好,金泉里 - 新兴街,3室1厅 | 83.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,"近地铁,VR看装修,房本满五年",465,55716
不临大街，楼层好，诚心出售，两居室,伴山人家 - 工农村,2室1厅 | 92.45平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,"VR看装修,房本满五年,随时看房",113,12223
金隅中间楼层明厕 精装自住房诚意出售,金隅悦城嘉悦园 - 万新街,2室1厅 | 93.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",185,19787
盛宇里婚房装修明亮通透，适合小两口居住的好房,盛宇里 - 王串场,1室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房",96,14861
采光好 明厨明卫 有阳台 近地铁,淮盛园 - 宜兴埠,1室1厅 | 79.4平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",125,15744
香邑国际 高档小区 两室过五年，采光好户型无浪费面积,香邑国际 - 万新街,2室1厅 | 93.37平米 | 南 | 精装 | 高楼层(共13层)  | 板塔结合,"VR看装修,房本满五年,随时看房",165,17672
远洋新干线 2室2厅 南 北,远洋新干线 - 空港经济区,2室2厅 | 90.87平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,"VR看装修,房本满五年,随时看房",176,19369
养老  阳面   1楼 采光好,盛和家园 - 新开河,1室1厅 | 55.56平米 | 南 | 简装 | 低楼层(共29层)  | 塔楼,"VR看装修,房本满五年,随时看房",97,17459
此房私产可贷款，满五唯一，楼层好，采光好,怀庆里 - 兴南街,1室1厅 | 33.69平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房",156,46305
小区全方面介绍、配套、交通出行,顺达东里 - 向阳楼,1室1厅 | 34.94平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房",72,20607
此房户型规整，楼层低，朝南向，采光充足，无遮挡.,建新东里 - 二号桥街,1室1厅 | 30.32平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",56,18470
此房满五唯一，视野开阔，保持良好，诚意出售,金泰丽湾 - 华明镇,1室1厅 | 61.39平米 | 南 | 精装 | 14层  | 板塔结合,"VR看装修,房本满五年,随时看房",91,14824
萃华里婚房装修，适合小两口居住,萃华里 - 王串场,1室1厅 | 57.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",95,16431
米兰阳光高层，业主诚心出售，中间楼层,米兰阳光 - 咸水沽,2室1厅 | 90.17平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,"VR看装修,房本满两年,随时看房",119.9,13298
实用两居室·毛坯随意装·好楼层,富力尚悦居 - 体育中心,2室2厅 | 81.42平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房",175.7,21580
嘉园两室，难得精装双阳，楼层适宜价格可议,华城景苑盛和嘉园 - 西营门,2室1厅 | 70.18平米 | 南 | 精装 | 29层  | 板塔结合,"VR看装修,房本满五年,随时看房",115,16387
静德花园 H三居室 中间楼层 阳光可以直射,静德花园 - 鼓楼街,3室2厅 | 143.82平米 | 南 北 | 简装 | 中楼层(共30层)  | 板楼,"VR看装修,房本满五年,随时看房",650,45196
一楼带小院  私产满五唯一 67.32平 适合老人居住,华宁南里 - 王顶堤,3室1厅 | 67.32平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年",226,33572
户型方正，中间位置，低楼层，税费低，居住舒适,智达里 - 精武镇,3室2厅 | 119.16平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满五年",185,15526
此房满5年，可以贷款，楼层好 南北通透！,卫津南路112号 - 体育中心街,3室1厅 | 74.62平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"近地铁,VR看装修,房本满五年",186,24927
户型方正全阳户型，业主诚心出售，实木装修，拎包入住,滨悦花园（远洋城2期） - 胡家园,2室1厅 | 91.52平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,"VR看装修,房本满五年",106,11583
平层精装修可拎包入住，隽丰物业，管理严格，环境优美,半岛豪庭天潇园 - 梅江,2室1厅 | 149.05平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,"VR看装修,房本满两年",509,34150
总监推荐，位置好，五年出一套，精装修，双阳两室,长华里 - 华苑,2室1厅 | 82.81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",259,31277
1998年的房龄，小砖楼，上海道，有车位，南北通透两居,亚中花园 - 越秀路,2室1厅 | 96.46平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年",396,41054
交通便利，采光充足，诚心出售，看房方便,瑞康家园 - 瑞景居住区,2室1厅 | 92.8平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,"近地铁,VR看装修,房本满五年",145,15625
碧桂园滨海城 3室1厅 南 北,碧桂园滨海城 - 中新生态城,3室1厅 | 94.03平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,"VR看装修,房本满五年",135,14358
"新上天时园,业主诚意出售，满五唯一无抵押",三和温泉花园天时园 - 建昌道,2室1厅 | 80.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年",160,19869
此房经典两居，中高楼层，采光好,盛世郦园 - 保利金街,2室1厅 | 94.13平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,"VR看装修,房本满五年",176,18698
改善房，全明格局，电梯房，居住舒适,竹华里 - 华苑,3室1厅 | 128.42平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,"VR看装修,房本满五年",319,24841
业主诚意卖房，价格有商量。业主变现。,鹤园北里 - 王顶堤,1室1厅 | 29.1平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满两年",93,31959
新城家园 中间楼层 诚意出售 毛坯 欢迎咨询,新城家园 - 新港,2室1厅 | 70.15平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,"近地铁,VR看装修,房本满五年",95,13541
昆仑里，南北向，私产，满五唯壹，不临街,昆仑里(河西区) - 陈塘庄,2室1厅 | 56.67平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,"近地铁,VR看装修,房本满五年",115,20293
天澜居二期 两室 简单装修 中间楼层 小区环境干净舒适,碧桂园海昌天澜 - 大沽街,2室2厅 | 87.21平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,"VR看装修,房本满两年",122,13990
枫丹天城  满五唯一 无个税无尾款 咨询联系维护人！,枫丹天城 - 体育中心,2室2厅 | 80.7平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,"VR看装修,房本满两年",185,22925
未来广场旁 康馨里 3楼 2居  南北  满五年  看房方便,康馨里 - 春华街,2室1厅 | 75.09平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",190,25303
新城小区 2室1厅 南 北,新城小区 - 挂甲寺,2室1厅 | 57.04平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,"VR看装修,房本满五年",185,32434
满2年，精装修，视野开阔，业主诚意卖,和盛苑 - 渤海石油街,2室1厅 | 66.33平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,"VR看装修,房本满两年",69,10403
急售H户型、私产过五年、看房方便、采光好、价位可议,津铁惠苑 - 小海地,2室1厅 | 92.41平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,"VR看装修,房本满两年",215.5,23320
泰来嘉园一室 户型好 朝向好 楼层好,泰来嘉园 - 新开河,1室1厅 | 56.49平米 | 东 | 简装 | 低楼层(共24层)  | 塔楼,"VR看装修,房本满五年",104,18411
房子满五年，私产可贷款，使用面积大，采光足,龙博花园 - 小海地,2室1厅 | 85.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",230,26770
商品房，不临街，不把边，中间层，南北向，一层三户,景兴西里 - 挂甲寺,2室1厅 | 53.65平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,"近地铁,VR看装修,房本满五年",240,44735
艺术家园 精装自住房 南北通透 价位有商量 带阁楼,艺术家园 - 瑞景居住区,2室1厅 | 72.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年",123,17072
格调春天花园 五马路 近地铁 业主诚意出售,格调春天花园 - 广开街,3室2厅 | 141.68平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,"VR房源,房本满五年",640,45173
环球影城 精装一居室 视野好 临地铁打包出售 停车方便,天津东方环球影城 - 中北镇,1室1厅 | 53.26平米 | 北 | 精装 | 高楼层(共30层)  | 板塔结合,"近地铁,VR看装修,房本满两年",59,11078
《店长推荐》白云里南北通透两室诚心出售，看房方便。,白云里 - 越秀路,2室1厅 | 59.39平米 | 南 西 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满两年,随时看房",193,32498
小区中间位置 中高层 视野很好 位置好,宝龙南苑 - 中新生态城,3室2厅 | 88.83平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,"VR房源,房本满两年,随时看房",134,15085
店长推荐！小高层，满五唯一，有车位，中间楼层,荣翔园 - 北仓镇,2室1厅 | 77.73平米 | 北 南 | 简装 | 中楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房",105,13509
